state,year,spending_nominal,cpi_deflator,spending_2017,spending_2017m
Massachusetts,2019,512920,0.9587846215828238,491779.80810226203,0.491779808102262
Michigan,2011,141343,1.089717656786951,154023.96276323803,0.15402396276323804
Michigan,2012,245322,1.0676237183898534,261911.5858428356,0.2619115858428356
Michigan,2013,22000,1.0522113523096537,23148.64975081238,0.023148649750812378
Michigan,2014,273518,1.0354149770208165,283204.6336847797,0.2832046336847797
Michigan,2015,51769,1.0341874211554445,53538.84860579621,0.053538848605796205
Michigan,2016,0,1.0213035453132617,0.0,0.0
Michigan,2017,20000,1.0,20000.0,0.02
Michigan,2018,500000,0.9761575742611716,488078.78713058576,0.4880787871305858
Michigan,2019,500000,0.9587846215828238,479392.3107914119,0.4793923107914119
Minnesota,2011,105396,1.089717656786951,114851.8821547175,0.1148518821547175
Minnesota,2012,105000,1.0676237183898534,112100.4904309346,0.1121004904309346
Minnesota,2013,104434,1.0522113523096537,109886.64036710637,0.10988664036710638
Minnesota,2014,218436,1.0354149770208165,226171.9059205191,0.22617190592051908
Minnesota,2015,272618,1.0341874211554445,281938.10638055496,0.28193810638055494
Minnesota,2016,155000,1.0213035453132617,158302.04952355556,0.15830204952355556
Minnesota,2017,140000,1.0,140000.0,0.14
Minnesota,2018,0,0.9761575742611716,0.0,0.0
Missouri,2011,0,1.089717656786951,0.0,0.0
Missouri,2012,89074,1.0676237183898534,95097.5150918578,0.0950975150918578
Montana,2011,266990,1.089717656786951,290943.7171855481,0.2909437171855481
Montana,2012,303000,1.0676237183898534,323489.9866721256,0.3234899866721256
Montana,2013,208861,1.0522113523096537,219765.91525474656,0.21976591525474656
Montana,2014,215096,1.0354149770208165,222713.61989726956,0.22271361989726957
Montana,2015,268759,1.0341874211554445,277947.1771223161,0.2779471771223161
Montana,2016,202789,1.0213035453132617,207109.12465053104,0.20710912465053105
Montana,2017,214000,1.0,214000.0,0.214
Montana,2018,214000,0.9761575742611716,208897.72089189073,0.20889772089189074
Montana,2019,214000,0.9587846215828238,205179.9090187243,0.20517990901872432
Nebraska,2011,66303,1.089717656786951,72251.54979794522,0.07225154979794522
Nebraska,2012,77936,1.0676237183898534,83206.3221164316,0.0832063221164316
Nebraska,2013,68985,1.0522113523096537,72586.80013908146,0.07258680013908146
Nebraska,2014,74521,1.0354149770208165,77160.15950256826,0.07716015950256826
Nebraska,2015,74548,1.0341874211554445,77096.60387229608,0.07709660387229608
Nebraska,2016,47000,1.0213035453132617,48001.2666297233,0.0480012666297233
Nebraska,2017,3000,1.0,3000.0,0.003
Nevada,2011,553340,1.089717656786951,602984.3682064915,0.6029843682064915
Nevada,2012,147258,1.0676237183898534,157216.13352265302,0.157216133522653
Nevada,2013,0,1.0522113523096537,0.0,0.0
Nevada,2014,133000,1.0354149770208165,137710.1919437686,0.13771019194376857
Nevada,2015,4967,1.0341874211554445,5136.8089208790925,0.005136808920879092
Nevada,2016,66500,1.0213035453132617,67916.6857633319,0.0679166857633319
Nevada,2017,0,1.0,0.0,0.0
New Hampshire,2011,52998,1.089717656786951,57752.85637439483,0.05775285637439483
New Hampshire,2012,0,1.0676237183898534,0.0,0.0
New Hampshire,2013,0,1.0522113523096537,0.0,0.0
New Hampshire,2014,0,1.0354149770208165,0.0,0.0
New Hampshire,2015,308467,1.0341874211554445,319012.6912415565,0.3190126912415565
New Hampshire,2016,357250,1.0213035453132617,364860.6915631628,0.36486069156316275
New Hampshire,2017,298000,1.0,298000.0,0.298
New Hampshire,2018,329000,0.9761575742611716,321155.84193192545,0.3211558419319254
New Hampshire,2019,292070,0.9587846215828238,280032.22442569537,0.28003222442569536
